pokedex,branch_code,original_name,name,type_1,type_2,ability_1,ability_2,ability_hidden,mega_evolution_flag,region_form,hp,attack,defense,sp_attack,sp_defense,speed,total
1,1_0,bulbasaur,bulbasaur,grass,poison,overgrow,,chlorophyll,,,45,49,49,65,65,45,318
2,2_0,ivysaur,ivysaur,grass,poison,overgrow,,chlorophyll,,,60,62,63,80,80,60,405
3,3_0,venusaur,venusaur,grass,poison,overgrow,,chlorophyll,,,80,82,83,100,100,80,525
3,3_1,venusaur,venusaur-mega,grass,poison,thick fat,,,mega,,80,100,123,122,120,80,625
4,4_0,charmander,charmander,fire,,blaze,,solar power,,,39,52,43,60,50,65,309
5,5_0,charmeleon,charmeleon,fire,,blaze,,solar power,,,58,64,58,80,65,80,405
6,6_0,charizard,charizard,fire,flying,blaze,,solar power,,,78,84,78,109,85,100,534
6,6_1,charizard,charizard-mega-x,fire,dragon,tough claws,,,mega,,78,130,111,130,85,100,634
6,6_2,charizard,charizard-mega-y,fire,flying,drought,,,mega,,78,104,78,159,115,100,634
7,7_0,squirtle,squirtle,water,,torrent,,rain dish,,,44,48,65,50,64,43,314
8,8_0,wartortle,wartortle,water,,torrent,,rain dish,,,59,63,80,65,80,58,405
9,9_0,blastoise,blastoise,water,,torrent,,rain dish,,,79,83,100,85,105,78,530
9,9_1,blastoise,blastoise-mega,water,,mega launcher,,,mega,,79,103,120,135,115,78,630
10,10_0,caterpie,caterpie,bug,,shield dust,,run away,,,45,30,35,20,20,45,195
11,11_0,metapod,metapod,bug,,shed skin,,,,,50,20,55,25,25,30,205
12,12_0,butterfree,butterfree,bug,flying,compound eyes,,tinted lens,,,60,45,50,90,80,70,395
13,13_0,weedle,weedle,bug,poison,shield dust,,run away,,,40,35,30,20,20,50,195
14,14_0,kakuna,kakuna,bug,poison,shed skin,,,,,45,25,50,25,25,35,205
15,15_0,beedrill,beedrill,bug,poison,swarm,,sniper,,,65,90,40,45,80,75,395
15,15_1,beedrill,beedrill-mega,bug,poison,adaptability,,,mega,,65,150,40,15,80,145,495
16,16_0,pidgey,pidgey,normal,flying,keen eye,tangled feet,big pecks,,,40,45,40,35,35,56,251
17,17_0,pidgeotto,pidgeotto,normal,flying,keen eye,tangled feet,big pecks,,,63,60,55,50,50,71,349
18,18_0,pidgeot,pidgeot,normal,flying,keen eye,tangled feet,big pecks,,,83,80,75,70,70,101,479
18,18_1,pidgeot,pidgeot-mega,normal,flying,no guard,,,mega,,83,80,80,135,80,121,579
19,19_0,rattata,rattata,normal,,run away,guts,hustle,,,30,56,35,25,35,72,253
19,19_1,rattata,alolan rattata,dark,normal,gluttony,hustle,thick fat,,alolan,30,56,35,25,35,72,253
20,20_0,raticate,raticate,normal,,run away,guts,hustle,,,55,81,60,50,70,97,413
20,20_1,raticate,alolan raticate,dark,normal,gluttony,hustle,thick fat,,alolan,75,71,70,40,80,77,413
21,21_0,spearow,spearow,normal,flying,keen eye,,sniper,,,40,60,30,31,31,70,262
22,22_0,fearow,fearow,normal,flying,keen eye,,sniper,,,65,90,65,61,61,100,442
23,23_0,ekans,ekans,poison,,intimidate,shed skin,unnerve,,,35,60,44,40,54,55,288
24,24_0,arbok,arbok,poison,,intimidate,shed skin,unnerve,,,60,95,69,65,79,80,448
25,25_0,pikachu,pikachu,electric,,static,,lightning rod,,,35,55,40,50,50,90,320
25,25_1,pikachu,pikachu-alola,electric,,static,,lightning rod,,,35,55,40,50,50,90,320
25,25_2,pikachu,pikachu-hoenn,electric,,static,,lightning rod,,,35,55,40,50,50,90,320
25,25_3,pikachu,pikachu-kalos,electric,,static,,lightning rod,,,35,55,40,50,50,90,320
25,25_4,pikachu,pikachu-unova,electric,,static,,lightning rod,,,35,55,40,50,50,90,320
25,25_4,pikachu,pikachu-sinnoh,electric,,static,,lightning rod,,,35,55,40,50,50,90,320
25,25_5,pikachu,pikachu-partner,electric,,static,,lightning rod,,,35,55,40,50,50,90,320
26,26_0,raichu,raichu,electric,,static,,lightning rod,,,60,90,55,90,80,110,485
26,26_1,raichu,alolan raichu,electric,psychic,surge surfer,,,,alolan,60,85,50,95,85,110,485
27,27_0,sandshrew,sandshrew,ground,,sand veil,,sand rush,,,50,75,85,20,30,40,300
27,27_1,sandshrew,alolan sandshrew,ice,steel,snow cloak,,slush rush,,alolan,50,75,90,10,35,40,300
28,28_0,sandslash,sandslash,ground,,sand veil,,sand rush,,,75,100,110,45,55,65,450
28,28_1,sandslash,alolan sandslash,ice,steel,snow cloak,,slush rush,,alolan,75,100,120,25,65,65,450
29,29_0,nidoran f,nidoranf,poison,,poison point,rivalry,hustle,,,55,47,52,40,40,41,275
30,30_0,nidorina,nidorina,poison,,poison point,rivalry,hustle,,,70,62,67,55,55,56,365
31,31_0,nidoqueen,nidoqueen,poison,ground,poison point,rivalry,sheer force,,,90,92,87,75,85,76,505
32,32_0,nidoran m,nidoranm,poison,,poison point,rivalry,hustle,,,46,57,40,40,40,50,273
33,33_0,nidorino,nidorino,poison,,poison point,rivalry,hustle,,,61,72,57,55,55,65,365
34,34_0,nidoking,nidoking,poison,ground,poison point,rivalry,sheer force,,,81,102,77,85,75,85,505
35,35_0,clefairy,clefairy,fairy,,cute charm,magic guard,friend guard,,,70,45,48,60,65,35,323
36,36_0,clefable,clefable,fairy,,cute charm,magic guard,unaware,,,95,70,73,95,90,60,483
37,37_0,vulpix,vulpix,fire,,flash fire,,drought,,,38,41,40,50,65,65,299
37,37_1,vulpix,alolan vulpix,ice,,snow cloak,,snow warning,,alolan,38,41,40,50,65,65,299
38,38_0,ninetales,ninetales,fire,,flash fire,,drought,,,73,76,75,81,100,100,505
38,38_1,ninetales,alolan ninetales,ice,fairy,snow cloak,,snow warning,,alolan,73,67,75,81,100,109,505
39,39_0,jigglypuff,jigglypuff,normal,fairy,cute charm,competitive,friend guard,,,115,45,20,45,25,20,270
40,40_0,wigglytuff,wigglytuff,normal,fairy,cute charm,competitive,frisk,,,140,70,45,85,50,45,435
41,41_0,zubat,zubat,poison,flying,inner focus,,infiltrator,,,40,45,35,30,40,55,245
42,42_0,golbat,golbat,poison,flying,inner focus,,infiltrator,,,75,80,70,65,75,90,455
43,43_0,oddish,oddish,grass,poison,chlorophyll,,run away,,,45,50,55,75,65,30,320
44,44_0,gloom,gloom,grass,poison,chlorophyll,,stench,,,60,65,70,85,75,40,395
45,45_0,vileplume,vileplume,grass,poison,chlorophyll,,effect spore,,,75,80,85,110,90,50,490
46,46_0,paras,paras,bug,grass,effect spore,dry skin,damp,,,35,70,55,45,55,25,285
47,47_0,parasect,parasect,bug,grass,effect spore,dry skin,damp,,,60,95,80,60,80,30,405
48,48_0,venonat,venonat,bug,poison,compound eyes,tinted lens,run away,,,60,55,50,40,55,45,305
49,49_0,venomoth,venomoth,bug,poison,shield dust,tinted lens,wonder skin,,,70,65,60,90,75,90,450
50,50_0,diglett,diglett,ground,,sand veil,arena trap,sand force,,,10,55,25,35,45,95,265
50,50_1,diglett,alolan diglett,ground,steel,sand veil,tangling hair,sand force,,alolan,10,55,30,35,45,90,265
51,51_0,dugtrio,dugtrio,ground,,sand veil,arena trap,sand force,,,35,100,50,50,70,120,425
51,51_1,dugtrio,alolan dugtrio,ground,steel,sand veil,tangling hair,sand force,,alolan,35,100,60,50,70,110,425
52,52_0,meowth,meowth,normal,,pickup,technician,unnerve,,,40,45,35,40,40,90,290
52,52_1,meowth,alolan meowth,dark,,pickup,technician,rattled,,alolan,40,35,35,50,40,90,290
52,52_2,meowth,galarian meowth,steel,,pickup,tough claws,unnerve,,galarian,50,65,55,40,40,40,290
53,53_0,persian,persian,normal,,limber,technician,unnerve,,,65,70,60,65,65,115,440
53,53_1,persian,alolan persian,dark,,fur coat,technician,rattled,,alolan,65,60,60,75,65,115,440
54,54_0,psyduck,psyduck,water,,damp,cloud nine,swift swim,,,50,52,48,65,50,55,320
55,55_0,golduck,golduck,water,,damp,cloud nine,swift swim,,,80,82,78,95,80,85,500
56,56_0,mankey,mankey,fighting,,vital spirit,anger point,defiant,,,40,80,35,35,45,70,305
57,57_0,primeape,primeape,fighting,,vital spirit,anger point,defiant,,,65,105,60,60,70,95,455
58,58_0,growlithe,growlithe,fire,,intimidate,flash fire,justified,,,55,70,45,70,50,60,350
58,58_1,growlithe,hisuian growlithe,fire,rock,intimidate,flash fire,rock head,,hisuian,60,75,45,65,50,55,350
59,59_0,arcanine,arcanine,fire,,intimidate,flash fire,justified,,,90,110,80,100,80,95,555
